id,genres,country,title,year,language,actors,director,writers
320349,['Thriller'],United States of America,"3 ½ Minutes, 10 Bullets",2015,English,"[('Lucia McBath', 0, 0), ('Ron Davis', 0, 0), ('Michael David Dunn', 0, 0), ('Russell Healey', 0, 0), ('John Guy', 0, 0), ('Cory Strolla', 0, 0), ('Rhonda Rouer', 0, 0), ('Chris Dunn', 0, 0), ('Phyllis Molinaro', 0, 0), ('Vic Micolucci', 0, 0), ('Tevin Thompson', 0, 0), ('Leland Brunson', 0, 0), ('Tommie Stornes', 0, 0), ('Aliyah Harris', 0, 0), ('Steven Smith', 0, 0), ('Jordan Russell Davis', 0, 0), ('Andrew Johnson Sr.', 0, 0), ('Marc Musser', 0, 0), ('Andrew Kipple', 0, 0), ('Stacey Simons', 0, 0), ('Angela B. Corey', 0, 0)]","[('Marc Silver', 2, 0)]",[]
278283,['Drama'],United States of America,The Great Man Votes,1939,English,"[('John Barrymore', 0, 0), ('Virginia Weidler', 1, 0), ('Katharine Alexander', 1, 0), ('Peter Holden', 0, 0), ('Donald MacBride', 2, 0), ('William Demarest', 2, 0), ('Elisabeth Risdon', 1, 0), ('Brandon Tynan', 2, 0), ('Granville Bates', 0, 0), ('Luis Alberni', 2, 0), ('Roy Gordon', 0, 0), ('Esther Dale', 1, 0), ('Benny Bartlett', 2, 0), ('Murray Alper', 2, 0), (""Matthew 'Stymie' Beard"", 2, 0), ('Joseph E. Bernard', 0, 0), ('Maurice Cass', 2, 0), ('Paul Everton', 2, 0), ('Bud Geary', 2, 0), ('Darwood Kaye', 0, 0), ('Donald Kerr', 2, 0), ('Terry Kilburn', 2, 0), ('Walter Sande', 2, 0), ('Robert Strange', 0, 0), ('Elliott Sullivan', 0, 0), ('Frank Sully', 2, 0), ('J. M. Kerrigan', 0, 0)]","[('Garson Kanin', 2, 0)]",[]
192538,['Action'],United Kingdom,Hammer of the Gods,2013,English,"[('Charlie Bewley', 0, 0), ('Clive Standen', 2, 0), ('James Cosmo', 2, 0), ('Elliot Cowan', 2, 0), ('Ivan Kaye', 2, 0), ('Michael Jibson', 2, 0), ('Guy Flanagan', 0, 0), ('Theo Barklem-Biggs', 2, 0), ('Glynis Barber', 1, 0), ('Alexandra Dowling', 1, 0)]","[('Farren Blackburn', 0, 0)]","[('Matthew Read', 0, 0)]"
8931,"['Action', 'Drama', 'Thriller']",Mexico,The Bastards,2008,English,"[('Jesus Moises Rodriguez', 0, 0), ('Rubén Sosa', 0, 0), ('Nina Zavarin', 0, 0)]","[('Amat Escalante', 0, 0)]",[]
37672,"['Comedy', 'Drama']",United States of America,"Same Time, Next Year",1978,English,"[('Alan Alda', 2, 0), ('Ellen Burstyn', 1, 0), ('Ivan Bonar', 2, 0), ('Bernie Kuby', 0, 0)]","[('Robert Mulligan', 2, 0)]",[]
28270,"['Action', 'Comedy', 'Crime']",United States of America,Gambit,1966,English,"[('Michael Caine', 2, 0), ('Shirley MacLaine', 1, 0), ('Herbert Lom', 2, 0), ('John Abbott', 2, 0), ('Roger C. Carmel', 2, 0), ('Richard Angarola', 2, 0), ('Maurice Marsac', 2, 0), ('Arnold Moss', 2, 0)]","[('Ronald Neame', 2, 0)]",[]
41969,"['Drama', 'Thriller']",United States of America,The Girl in a Swing,1988,English,"[('Meg Tilly', 1, 0), ('Rupert Frazer', 2, 0), ('Nicholas Le Prevost', 2, 0), ('Elspet Gray', 0, 0), ('Lynsey Baxter', 1, 0), ('Jean Boht', 1, 0), ('Lorna Heilbron', 1, 0)]","[('Gordon Hessler', 2, 0)]",[]
40765,['Thriller'],United States of America,The Ghost Ship,1943,English,"[('Richard Dix', 2, 0), ('Russell Wade', 2, 0), ('Edith Barrett', 1, 0), ('Ben Bard', 2, 0), ('Edmund Glover', 2, 0), ('Sir Lancelot', 2, 0), ('Lawrence Tierney', 2, 0)]","[('Mark Robson', 2, 0)]",[]
13123,['Thriller'],India,Aamir,2008,Hindi,"[('Rajeev Khandelwal', 0, 0), ('Vasan Bala', 0, 0), ('Gajraj Rao', 0, 0)]","[('Raj Kumar Gupta', 0, 0)]","[('Raj Kumar Gupta', 0, 0)]"
8417,['Drama'],Germany,Jud Süß,1940,German,"[('Ferdinand Marian', 0, 0), ('Werner Krauss', 2, 0), ('Heinrich George', 2, 0), ('Kristina Söderbaum', 0, 0), ('Eugen Klöpfer', 2, 0), ('Hilde von Stolz', 1, 0), ('Albert Florath', 0, 0), ('Malte Jaeger', 2, 0), ('Theodor Loos', 2, 0), ('Jakob Tiedtke', 0, 0), ('Walter Werner', 2, 0), ('Erna Morena', 1, 0), ('Else Elster', 1, 0), ('Heinrich Schroth', 0, 0), ('Reinhold Bernt', 2, 0), ('Otto F. Henning', 0, 0), ('Emil Heß', 0, 0), ('Charlotte Schultz', 0, 0), ('Anny Seitz', 0, 0), ('Ursula Deinert', 0, 0), ('Erich Dunskus', 0, 0), ('Bernhard Goetzke', 2, 0), ('Horst Lommer', 2, 0), ('Wolfgang Staudte', 2, 0), ('Eduard Wenck', 0, 0), ('Ilse Buhl', 0, 0), ('Käthe Jöken-König', 0, 0), ('Hannelore Benzinger', 0, 0), ('Ingeborg Albert', 0, 0), ('Annette Bach', 0, 0), ('Irmgard Voelker', 0, 0), ('Valy Arnheim', 0, 0), ('Franz Arzdorf', 0, 0), ('Walter Bechmann', 0, 0), ('Fred Becker', 0, 0), ('Louis Brody', 2, 0), ('Wilhelm Egger-Sell', 0, 0), ('Franz Eschle', 0, 0), ('Hans Eysenhardt', 0, 0), ('Georg Guertler', 0, 0), ('Oskar Höcker', 2, 0), ('Karl Iban', 0, 0), ('Willy Kaiser-Heyl', 2, 0), ('Franz Klebusch', 2, 0), ('Otto Klopsch', 0, 0), ('Erich Lange', 0, 0), ('Richard Ludwig', 2, 0), ('Paul Mederow', 0, 0), ('Hans Meyer-Hanno', 2, 0), ('Armin Münch', 0, 0), ('Edgar Nollet', 0, 0), ('Hellmuth Passarge', 0, 0), ('Josef Peterhans', 0, 0), ('Friedrich Petermann', 0, 0), ('Edmund Pouch', 0, 0), ('Arthur Reinhardt', 0, 0), ('Ernst Stimmel', 0, 0), ('Walter Tarrach', 0, 0), ('Otz Tollen', 0, 0), ('Max Vierlinger', 0, 0), ('Hanns Waschatko', 0, 0), ('Otto Wollmann', 0, 0), ('Lucien Blondeau', 0, 0), ('Colette Broïdo', 0, 0), ('Jean Darcante', 0, 0), ('Richard Francoeur', 0, 0), ('Maurice Lagrenée', 0, 0), ('Marcel Raine', 2, 0), ('Rognoni', 0, 0), ('Henri Valbel', 0, 0)]","[('Veit Harlan', 0, 0)]",[]
50086,['Drama'],Thailand,Nymph,2009,Thai,"[('Porntip Papanai', 1, 0), ('Nopachai Chaiyanam', 2, 0), ('Wanida Termthanaporn ', 0, 0), ('Chamanun Wanwinwatsara', 0, 0)]","[('Pen-Ek Ratanaruang', 2, 0)]",[]
62527,"['Comedy', 'Drama']",United States of America,Johnny Kapahala - Back on Board,2007,English,"[('Brandon Baker', 2, 0), ('Cary-Hiroyuki Tagawa', 2, 0), ('Jake T. Austin', 2, 0), ('Robyn Lively', 1, 0), ('Mary Page Keller', 1, 0), ('Yuji Okumoto', 2, 0), ('Rose McIver', 1, 0)]","[('Eric Bross', 2, 0)]","[('Ann Knapp', 0, 0)]"
11541,['Drama'],Australia,The Year of Living Dangerously,1982,English,"[('Mel Gibson', 2, 0), ('Sigourney Weaver', 1, 0), ('Linda Hunt', 1, 0), ('Michael Murphy', 2, 0), ('Bill Kerr', 2, 0), ('Noel Ferrier', 0, 0), ('Bembol Roco', 0, 0), ('Paul Sonkkila', 2, 0), ('Domingo Landicho', 0, 0), ('Kuh Ledesma', 0, 0)]","[('Peter Weir', 2, 0)]",[]
